epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1530.94,0.19662,0.25029,0.17359,0.79731,0.99965,1,0.995,0.99489,0.99965,1,0.995,0.98911,0.12878,0.18391,0.11909,0.7803,0.0006536,0.0006536,0.0006536
70,1552.22,0.2014,0.25296,0.17891,0.80695,0.99965,1,0.995,0.99461,0.99965,1,0.995,0.98942,0.12188,0.18602,0.1073,0.77944,0.0006338,0.0006338,0.0006338
71,1574.84,0.18936,0.23576,0.16806,0.80076,0.99965,1,0.995,0.99432,0.99965,1,0.995,0.99052,0.11481,0.17999,0.11049,0.77997,0.000614,0.000614,0.000614
72,1597.24,0.1927,0.24106,0.16848,0.80098,0.99964,1,0.995,0.99486,0.99964,1,0.995,0.99062,0.11365,0.18167,0.11089,0.78079,0.0005942,0.0005942,0.0005942
73,1619.13,0.20066,0.25074,0.17113,0.80318,0.99965,1,0.995,0.99485,0.99965,1,0.995,0.99043,0.11041,0.18149,0.10632,0.77913,0.0005744,0.0005744,0.0005744
74,1640.97,0.18871,0.2459,0.16455,0.80301,0.99965,1,0.995,0.99432,0.99965,1,0.995,0.98951,0.1153,0.18312,0.10786,0.77964,0.0005546,0.0005546,0.0005546
75,1662.93,0.18466,0.2376,0.16267,0.79915,0.99965,1,0.995,0.995,0.99965,1,0.995,0.99119,0.11109,0.18103,0.1032,0.77972,0.0005348,0.0005348,0.0005348
76,1684.7,0.18758,0.24469,0.16201,0.80073,0.99965,1,0.995,0.99493,0.99965,1,0.995,0.991,0.11112,0.18368,0.10618,0.77902,0.000515,0.000515,0.000515
77,1706.54,0.1859,0.24068,0.16183,0.79741,0.99965,1,0.995,0.99499,0.99965,1,0.995,0.98913,0.11348,0.18128,0.10612,0.77855,0.0004952,0.0004952,0.0004952
78,1728.34,0.18542,0.24178,0.16266,0.79951,0.99965,1,0.995,0.99482,0.99965,1,0.995,0.99083,0.11032,0.1765,0.10375,0.7787,0.0004754,0.0004754,0.0004754
79,1750.14,0.1832,0.24077,0.15987,0.80017,0.99965,1,0.995,0.99397,0.99965,1,0.995,0.99055,0.11698,0.1809,0.10535,0.77909,0.0004556,0.0004556,0.0004556
80,1772.07,0.18209,0.24342,0.15999,0.80342,0.99965,1,0.995,0.99394,0.99965,1,0.995,0.99083,0.11267,0.18233,0.09922,0.77843,0.0004358,0.0004358,0.0004358
81,1793.86,0.1816,0.23545,0.15787,0.79779,0.99965,1,0.995,0.99478,0.99965,1,0.995,0.99112,0.11347,0.17832,0.1056,0.77902,0.000416,0.000416,0.000416
82,1815.6,0.18067,0.23703,0.15725,0.8017,0.99965,1,0.995,0.99379,0.99965,1,0.995,0.98967,0.11071,0.18023,0.10067,0.77861,0.0003962,0.0003962,0.0003962
83,1837.38,0.17906,0.24496,0.15751,0.79966,0.99965,1,0.995,0.995,0.99965,1,0.995,0.99072,0.10648,0.1746,0.09689,0.77817,0.0003764,0.0003764,0.0003764
84,1859.17,0.17301,0.25195,0.15248,0.80202,0.99965,1,0.995,0.995,0.99965,1,0.995,0.99071,0.10653,0.17716,0.10144,0.77895,0.0003566,0.0003566,0.0003566
85,1880.93,0.17631,0.23733,0.15388,0.80183,0.99965,1,0.995,0.99449,0.99965,1,0.995,0.98947,0.10694,0.17905,0.10159,0.77779,0.0003368,0.0003368,0.0003368
86,1902.76,0.17437,0.23974,0.1512,0.79934,0.99965,1,0.995,0.99499,0.99965,1,0.995,0.99033,0.111,0.17807,0.09684,0.77829,0.000317,0.000317,0.000317
87,1924.54,0.16744,0.22882,0.1481,0.79645,0.99965,1,0.995,0.99454,0.99965,1,0.995,0.99055,0.10125,0.17687,0.09228,0.77788,0.0002972,0.0002972,0.0002972
88,1946.27,0.17582,0.23026,0.15225,0.79768,0.99965,1,0.995,0.99451,0.99965,1,0.995,0.98976,0.1044,0.18212,0.09622,0.77869,0.0002774,0.0002774,0.0002774
89,1968.03,0.16779,0.22783,0.14467,0.80302,0.99966,1,0.995,0.99482,0.99966,1,0.995,0.98921,0.1036,0.17665,0.09388,0.77903,0.0002576,0.0002576,0.0002576
90,1989.8,0.16609,0.23729,0.14366,0.79753,0.99965,1,0.995,0.99479,0.99965,1,0.995,0.9904,0.09876,0.18117,0.08876,0.7788,0.0002378,0.0002378,0.0002378
91,2013.42,0.12863,0.19643,0.11151,0.75954,0.99954,1,0.995,0.9944,0.99954,1,0.995,0.99014,0.11414,0.18253,0.09593,0.77928,0.000218,0.000218,0.000218
92,2034.73,0.1309,0.19323,0.11415,0.75559,0.99964,1,0.995,0.99484,0.99964,1,0.995,0.99026,0.10617,0.17836,0.0971,0.77736,0.0001982,0.0001982,0.0001982
93,2056.03,0.12687,0.1953,0.11465,0.75621,0.99964,1,0.995,0.99484,0.99964,1,0.995,0.99039,0.10775,0.17761,0.09996,0.7775,0.0001784,0.0001784,0.0001784
94,2077.28,0.12653,0.19062,0.11422,0.75609,0.99965,1,0.995,0.995,0.99965,1,0.995,0.98996,0.10427,0.17692,0.09903,0.77697,0.0001586,0.0001586,0.0001586
95,2098.55,0.12018,0.19178,0.10957,0.76083,0.99965,1,0.995,0.995,0.99965,1,0.995,0.99043,0.10177,0.17687,0.09302,0.77767,0.0001388,0.0001388,0.0001388
96,2119.81,0.12025,0.19334,0.10511,0.76019,0.99965,1,0.995,0.995,0.99965,1,0.995,0.99004,0.10227,0.17911,0.09112,0.77849,0.000119,0.000119,0.000119
97,2141.1,0.11396,0.1939,0.10224,0.75891,0.99965,1,0.995,0.99497,0.99965,1,0.995,0.98867,0.10233,0.17785,0.09024,0.77817,9.92e-05,9.92e-05,9.92e-05
98,2162.39,0.11388,0.18659,0.09921,0.76031,0.99966,1,0.995,0.995,0.99966,1,0.995,0.98964,0.09653,0.1781,0.0865,0.77767,7.94e-05,7.94e-05,7.94e-05
99,2183.71,0.10969,0.1866,0.09854,0.75977,0.99965,1,0.995,0.995,0.99965,1,0.995,0.98964,0.09539,0.17632,0.08503,0.77776,5.96e-05,5.96e-05,5.96e-05
100,2205.09,0.1095,0.18871,0.09795,0.75607,0.99966,1,0.995,0.995,0.99966,1,0.995,0.98923,0.0944,0.17574,0.08418,0.77754,3.98e-05,3.98e-05,3.98e-05
